MD Item FS Size	22933308
MD Item FS Type Code
MIME Type	image/x-canon-cr3
Altitude	212,6 m
altTextAccessibility
aspectRatio	1.4992679355783
bitDepth	16
Camera Make	Canon
Camera Model	Canon EOS R5m2
Camera Serial Number	145502100267
cameraSN	145502100267
Caption
captureTime	790960597.25
City
colorNameForLabel	gray
Copyright
Copyright Info URL
Copyright Status	Unknown
Country
countStackInFolderMembers	0
countVirtualCopies	0
Creator
Creator Address
Creator City
Creator Country
Creator E-Mail
Creator Job Title
Creator Phone
Creator Postal Code
Creator State / Province
Creator Website
Creditline
Cropped Dimensions	8192 x 5464
Date Created	2026-01-24T16:16:37.250-08:00
Date Time	24.01.26 16:16:37.250
Date Time Digitized	24.01.26 16:16:37.250
Date Time Original	24.01.26 16:16:37.250
dateTimeDigitizedISO8601	2026-01-24T16:16:37.25-08:00
dateTimeISO8601	2026-01-24T16:16:37.25-08:00
dateTimeOriginalISO8601	2026-01-24T16:16:37.25-08:00
Description Writer
Digital Source Type	nil
Dimensions	8192 x 5464
durationInSeconds	0
editCount	5
Exposure	¹⁄₆₄₀ sec at ƒ / 8,0
Exposure Bias	0 EV
Exposure Program	Manual
extDescrAccessibility
F-Stop	ƒ / 8,0
File Name	R52M4346.CR3
File Size	21,87 MB
File Type	Raw
fileFormat	RAW
Flash	Did not fire
Focal Length	95 mm
Folder	test_location_timezone
GPS	46°53'3.726" N 122°18'0.618" W
Headline
height	5464
Instructions
Intellectual Genre
IPTC Extension Rights
IPTC Scene Code
IPTC Subject Code
isCropped	false
isExported	false
isInStackInFolder	false
ISO Country Code
ISO Speed Rating	ISO 250
isVideo	false
isVirtualCopy	false
Job Identifier
Keywords
keywordTagsForExport
Label
lastEditTime	794266664.14398
Lens	RF70-200mm F2.8 L IS USM
masterPhoto	322037
Metadata Date	03.03.26 22:36:49.763
Metering Mode	Pattern
Minor Model Age Disclosure	nil
orientation	AB
Other Categories
path	/Volumes/Media/Crisan Media/Photos/2026/test_location_timezone/R52M4346.CR3
pickStatus	0
PLUS Version	1.2.0
preservedFileName	R52M4346.CR3
Property Release Status	nil
Release Status	nil
Rights Usage Terms
root_uuid	05F44271-29B9-4111-B1E5-35A8C050930A
Shutter Speed	1/640 sec
Source
stackInFolderIsCollapsed	false
stackPositionInFolder	1
State / Province
Sublocation
Title
uuid	0CB8F36B-53CE-405B-9FF0-62EA65C9637D
width	8192
